,Link-href,Name,Types,About,Duration,Address,Rating,ReviewsNo,ExcellentRating,VeryGoodRating,AverageRating,PoorRating,TerribleRating,StartTime,EndTime,LunchStart,LunchEnd,DurationMin,DurationMax
379,https://www.tripadvisor.com/Attraction_Review-g189158-d10423153-Reviews-Alfredo_Keil_Garden-Lisbon_Lisbon_District_Central_Portugal.html,Alfredo Keil Garden,['Gardens'],,Duration: 1-2 hours,"Praca da Alegria, Lisbon 1250-004 Portugal",4.0,9,1,6,2,0,0,,,,,0 days 01:00:00,0 days 02:00:00
380,https://www.tripadvisor.com/Attraction_Review-g189158-d15669044-Reviews-Estatua_Antero_de_Quental-Lisbon_Lisbon_District_Central_Portugal.html,Estátua Antero de Quental,['Monuments & Statues'],,,"Jardim Guerra Junqueiro Estrela, Lisbon 1200-667 Portugal",4.5,2,1,1,0,0,0,,,,,,
381,https://www.tripadvisor.com/Attraction_Review-g189158-d15635787-Reviews-Chafariz_do_Largo_da_Paz-Lisbon_Lisbon_District_Central_Portugal.html,Chafariz do Largo da Paz,['Fountains'],,,"Largo da Paz, Lisbon 1300-450 Portugal",5.0,1,1,0,0,0,0,,,,,,
382,https://www.tripadvisor.com/Attraction_Review-g189158-d17625522-Reviews-Igreja_de_Nossa_Senhora_do_Socorro-Lisbon_Lisbon_District_Central_Portugal.html,Igreja de Nossa Senhora do Socorro,['Churches & Cathedrals'],,,"Rua do Marques de Ponte de Lima, Lisbon 1100-337 Portugal",5.0,1,1,0,0,0,0,,,,,,
383,https://www.tripadvisor.com/Attraction_Review-g189158-d15619853-Reviews-Rock_in_Rio_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,Rock in Rio Lisboa,['Music Festivals'],,,"Av. Dr. Arlindo Vicente Bela Vista Park, Lisbon 1950-080 Portugal",3.5,6,3,1,0,1,0,,,,,,
384,https://www.tripadvisor.com/Attraction_Review-g189158-d15198823-Reviews-Igreja_da_Nossa_Senhora_dos_Navegantes-Lisbon_Lisbon_District_Central_Portugal.html,Igreja da Nossa Senhora dos Navegantes,"['Architectural Buildings', 'Churches & Cathedrals']",,Duration: < 1 hour,"Passeio dos Herois do Mar Sacavem, Lisbon 1990-374 Portugal",4.5,3,2,1,0,0,0,,,,,,0 days 01:00:00
385,https://www.tripadvisor.com/Attraction_Review-g189158-d11639272-Reviews-Igreja_de_Nossa_Senhora_da_Vitoria-Lisbon_Lisbon_District_Central_Portugal.html,Igreja de Nossa Senhora da Vitoria,['Churches & Cathedrals'],,,"Rua da Vitoria 104 Centro, Lisbon 1100-619 Portugal",3.5,8,1,2,5,0,0,,,,,,
386,https://www.tripadvisor.com/Attraction_Review-g189158-d15549751-Reviews-Igreja_de_Sao_Francisco_de_Paula-Lisbon_Lisbon_District_Central_Portugal.html,Igreja de Sao Francisco de Paula,['Churches & Cathedrals'],,Duration: < 1 hour,"R. do Olival 63, Lisbon 1200-743 Portugal",4.5,3,1,2,0,0,0,,,,,,0 days 01:00:00
387,https://www.tripadvisor.com/Attraction_Review-g189158-d17665310-Reviews-Reminiscencia_Almada_Negreiros-Lisbon_Lisbon_District_Central_Portugal.html,Reminiscencia (Almada Negreiros),['Monuments & Statues'],,,"Avenida Ribeira das Naus, Lisbon 1100-454 Portugal",4.5,3,2,1,0,0,0,,,,,,
388,https://www.tripadvisor.com/Attraction_Review-g189158-d15598527-Reviews-Igreja_Paroquial_dos_Santos_Reis_Magos_do_Campo_Grande-Lisbon_Lisbon_District_Ce.html,Igreja Paroquial dos Santos Reis Magos do Campo Grande,['Churches & Cathedrals'],,Duration: < 1 hour,"Campo Grande 244 Alvalade, Lisbon 1700-094 Portugal",5.0,1,1,0,0,0,0,,,,,,0 days 01:00:00
389,https://www.tripadvisor.com/Attraction_Review-g189158-d17664939-Reviews-Calcada_da_Amalia-Lisbon_Lisbon_District_Central_Portugal.html,Calcada da Amalia,['Points of Interest & Landmarks'],,,"Calcada Menino de Deus 1 3, Lisbon 1100-346 Portugal",3.5,3,1,0,2,0,0,,,,,,
390,https://www.tripadvisor.com/Attraction_Review-g189158-d15290981-Reviews-Placa_Assinalativa_do_Local_do_Regicidio-Lisbon_Lisbon_District_Central_Portugal.html,Placa Assinalativa do Local do Regicidio,['Points of Interest & Landmarks'],,Duration: < 1 hour,"Praca do Comercio 1100, Lisbon 1149-002 Portugal",4.0,4,1,1,2,0,0,,,,,,0 days 01:00:00
391,https://www.tripadvisor.com/Attraction_Review-g189158-d15549392-Reviews-Estatua_de_Camilo_Castelo_Branco-Lisbon_Lisbon_District_Central_Portugal.html,Estatua de Camilo Castelo Branco,['Monuments & Statues'],,,"Avenida Duque de Loule 119, Lisbon 1050-089 Portugal",4.5,3,1,2,0,0,0,,,,,,
392,https://www.tripadvisor.com/Attraction_Review-g189158-d15672361-Reviews-Rainha_D_Catarina_de_Braganca-Lisbon_Lisbon_District_Central_Portugal.html,Rainha D. Catarina de Braganca,['Monuments & Statues'],,,"Passeio do Tejo LT7 Parque das Nacoes, Lisbon 1990-281 Portugal",4.5,2,1,1,0,0,0,,,,,,
393,https://www.tripadvisor.com/Attraction_Review-g189158-d17694503-Reviews-Casa_do_Santo_Padre_Cruz-Lisbon_Lisbon_District_Central_Portugal.html,Casa do Santo Padre Cruz,['Religious Sites'],,,"Rua da Madalena 179 Ground floor - Largo Adelino Amaro da Costa, Lisbon 1100-319 Portugal",5.0,2,2,0,0,0,0,,,,,,
394,https://www.tripadvisor.com/Attraction_Review-g189158-d15290940-Reviews-D_Afonso_Henriques_Estatua_em_bronze-Lisbon_Lisbon_District_Central_Portugal.html,D. Afonso Henriques - Estatua em bronze,"['Points of Interest & Landmarks', 'Monuments & Statues']",,Duration: < 1 hour,"R. de Santa Cruz do Castelo Castelo de Sao Jorge, Lisbon 1100-129 Portugal",4.0,14,3,9,2,0,0,,,,,,0 days 01:00:00
395,https://www.tripadvisor.com/Attraction_Review-g189158-d17625244-Reviews-Jardim_Botto_Machado-Lisbon_Lisbon_District_Central_Portugal.html,Jardim Botto Machado,['Parks'],,,"Campo de Santa Clara 26, Lisbon 1100-475 Portugal",4.5,4,1,3,0,0,0,,,,,,
